act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,1,10,20,10,11,1,no,1,,"Look, where they come:"
1,1,10,20,10,11,1,no,2,,"Take but good note, and you shall see in him."
1,1,10,20,10,11,1,no,3,,The triple pillar of the world transform'd
1,1,10,20,10,11,1,no,4,,Into a strumpet's fool: behold and see.
1,1,10,20,10,11,1,no,5,,"If it be love indeed, tell me how much."
1,1,10,20,10,11,1,no,6,,There's beggary in the love that can be reckon'd.
1,1,10,20,10,11,1,no,7,,I'll set a bourn how far to be beloved.
1,1,10,20,10,11,1,no,8,,"Then must thou needs find out new heaven,"
1,1,10,20,10,11,1,no,9,,"News, my good lord, from Rome."
1,1,10,20,10,11,1,no,10,,Grates me: the sum.
1,1,10,20,10,11,1,no,11,20,"Nay, hear them, Antony:"
1,1,20,30,10,11,1,no,1,,"Fulvia perchance is angry; or, who knows"
1,1,20,30,10,11,1,no,2,,If the scarce-bearded Cæsar have not sent
1,1,20,30,10,11,1,no,3,,"His powerful mandate to you, 'Do this, or this;"
1,1,20,30,10,11,1,no,4,,"Take in that kingdom, and enfranchise that;"
1,1,20,30,10,11,1,no,5,,"Perform 't, or else we damn thee.'"
1,1,20,30,10,11,1,no,6,,"How, my love !"
1,1,20,30,10,11,1,no,7,,"Perchance! nay, and most like:"
1,1,20,30,10,11,1,no,8,,"You must not stay here longer, your dismission"
1,1,20,30,10,11,1,no,9,,"Is come from Cæsar; therefore hear it, Antony."
1,1,20,30,10,11,1,no,10,,Where's Fulvia's process ? Cæsar's I would say ? both ?
1,1,20,30,10,11,1,no,11,30,"Call in the messengers. As I am Egypt's queen,"
1,1,30,40,10,11,1,no,1,,"Thou blushest, Antony; and that blood of thine"
1,1,30,40,10,11,1,no,2,,Is Cæsar's homager: else so thy cheek pays shame
1,1,30,40,10,11,1,no,3,,When shrill-tongued Fulvia scolds. The messengers
1,1,30,40,10,11,1,no,4,,"Let Rome in Tiber melt, and the wide arch"
1,1,30,40,10,11,1,no,5,,Of the ranged empire fall! Here is my space.
1,1,30,40,10,11,1,no,6,,Kingdoms are clay: our dungy earth alike
1,1,30,40,10,11,1,no,7,,Feeds beast as man: the nobleness of life
1,1,30,40,10,11,1,no,8,,Is to do thus; when such a mutual pair
1,1,30,40,10,11,1,no,9,,"And such a twain can do't, in which I bind,"
1,1,30,40,10,11,1,no,10,,"On pain of punishment, the world to weet"
1,1,30,40,10,11,1,no,11,40,We stand up peerless.
1,1,40,50,10,12,2,no,1,,Excellent falsehood!
1,1,40,50,10,12,2,no,2,,"Why did he marry Fulvia, and not love her ?"
1,1,40,50,10,12,2,no,3,,I'll seem the fool I am not; Antony
1,1,40,50,10,12,2,no,4,,Will be himself.
1,1,40,50,10,12,2,no,5,,But stirr'd by Cleopatra.
1,1,40,50,10,12,2,no,6,,"Now, for the love of Love and her soft hours,"
1,1,40,50,10,12,2,no,7,,Let's not confound the time with conference harsh:
1,1,40,50,10,12,2,no,8,,There's not a minute of our lives should stretch
1,1,40,50,10,12,2,no,9,,Without some pleasure now. What sport tonight ?
1,1,40,50,10,12,2,no,10,,Hear the ambassadors.
1,1,40,50,10,12,2,no,11,,"Fie, wrangling queen!"
1,1,40,50,10,12,2,no,12,50,"Whom every thing becomes, to chide, to laugh,"
1,1,50,60,10,11,1,no,1,,To weep; whose every passion fully strives
1,1,50,60,10,11,1,no,2,,"To make itself, in thee, fair and admired!"
1,1,50,60,10,11,1,no,3,,"No messenger, but thine; and all alone"
1,1,50,60,10,11,1,no,4,,To-night we'll wander through the streets and note
1,1,50,60,10,11,1,no,5,,"The qualities of people. Come, my queen;"
1,1,50,60,10,11,1,no,6,,Last night you did desire it: speak not to us.
1,1,50,60,10,11,1,no,7,,Is Cæsar with Antonius prized so slight ?
1,1,50,60,10,11,1,no,8,,"Sir, sometimes, when he is not Antony,"
1,1,50,60,10,11,1,no,9,,He comes too short of that great property
1,1,50,60,10,11,1,no,10,,Which still should go with Antony.
1,1,50,60,10,11,1,no,11,60,I am full sorry
1,2,10,21,11,11,0,yes,,,
1,2,21,31,10,10,0,yes,,,
1,2,31,41,10,10,0,yes,,,
1,2,41,50,9,6,-3,no,1,,You think none but your sheets are privy to
1,2,41,50,9,6,-3,no,2,,"Nay, come, tell Iras hers."
1,2,41,50,9,6,-3,no,3,,We'll know all our fortunes.
1,2,41,50,9,6,-3,no,4,,"Mine, and most of our fortunes, to night,"
1,2,41,50,9,6,-3,no,5,,shall
1,2,41,50,9,6,-3,no,6,50,"There's a palm presages chastity, if nothing else."
1,2,50,60,10,9,-1,no,1,,E'en as the o'erflowing Nilus pre sageth
1,2,50,60,10,9,-1,no,2,,"Go, you wild bedfellow, you cannot"
1,2,50,60,10,9,-1,no,3,,soothsay.
