path,status,detail,urn,d0,d1,d2
../canonical-engLit/data/shakespeare/1h4/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/1h4/shakespeare.1h4.f1.xml,ok,,urn:cts:engLit:shakespeare.1h4.f1,5,19,
../canonical-engLit/data/shakespeare/1h4/shakespeare.1h4.globe.xml,ok,,urn:cts:engLit:shakespeare.1h4.globe,5,19,250
../canonical-engLit/data/shakespeare/1h6/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/1h6/shakespeare.1h6.f1.xml,ok,,urn:cts:engLit:shakespeare.1h6.f1,5,27,
../canonical-engLit/data/shakespeare/1h6/shakespeare.1h6.globe.xml,ok,,urn:cts:engLit:shakespeare.1h6.globe,6,27,236
../canonical-engLit/data/shakespeare/2h4/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/2h4/shakespeare.2h4.f1.xml,ok,,urn:cts:engLit:shakespeare.2h4.f1,7,17,
../canonical-engLit/data/shakespeare/2h4/shakespeare.2h4.globe.xml,ok,,urn:cts:engLit:shakespeare.2h4.globe,8,19,239
../canonical-engLit/data/shakespeare/2h6/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/2h6/shakespeare.2h6.f1.xml,ok,,urn:cts:engLit:shakespeare.2h6.f1,5,24,
../canonical-engLit/data/shakespeare/2h6/shakespeare.2h6.globe.xml,ok,,urn:cts:engLit:shakespeare.2h6.globe,6,24,261
../canonical-engLit/data/shakespeare/3h6/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/3h6/shakespeare.3h6.f1.xml,ok,,urn:cts:engLit:shakespeare.3h6.f1,5,28,
../canonical-engLit/data/shakespeare/3h6/shakespeare.3h6.globe.xml,ok,,urn:cts:engLit:shakespeare.3h6.globe,6,28,255
../canonical-engLit/data/shakespeare/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ado/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ado/shakespeare.ado.f1.xml,ok,,urn:cts:engLit:shakespeare.ado.f1,5,17,
../canonical-engLit/data/shakespeare/ado/shakespeare.ado.globe.xml,ok,,urn:cts:engLit:shakespeare.ado.globe,6,17,145
../canonical-engLit/data/shakespeare/ant/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ant/shakespeare.ant.f1.xml,ok,,urn:cts:engLit:shakespeare.ant.f1,5,42,
../canonical-engLit/data/shakespeare/ant/shakespeare.ant.globe.xml,ok,,urn:cts:engLit:shakespeare.ant.globe,6,42,273
../canonical-engLit/data/shakespeare/aww/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/aww/shakespeare.aww.f1.xml,ok,,urn:cts:engLit:shakespeare.aww.f1,5,23,
../canonical-engLit/data/shakespeare/aww/shakespeare.aww.globe.xml,ok,,urn:cts:engLit:shakespeare.aww.globe,6,23,215
../canonical-engLit/data/shakespeare/ayl/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ayl/shakespeare.ayl.f1.xml,ok,,urn:cts:engLit:shakespeare.ayl.f1,5,22,
../canonical-engLit/data/shakespeare/ayl/shakespeare.ayl.globe.xml,ok,,urn:cts:engLit:shakespeare.ayl.globe,6,22,85
../canonical-engLit/data/shakespeare/cor/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/cor/shakespeare.cor.f1.xml,ok,,urn:cts:engLit:shakespeare.cor.f1,5,29,
../canonical-engLit/data/shakespeare/cor/shakespeare.cor.globe.xml,ok,,urn:cts:engLit:shakespeare.cor.globe,5,29,36
../canonical-engLit/data/shakespeare/cym/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/cym/shakespeare.cym.f1.xml,ok,,urn:cts:engLit:shakespeare.cym.f1,5,27,
../canonical-engLit/data/shakespeare/cym/shakespeare.cym.globe.xml,ok,,urn:cts:engLit:shakespeare.cym.globe,6,27,3
../canonical-engLit/data/shakespeare/err/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/err/shakespeare.err.f1.xml,ok,,urn:cts:engLit:shakespeare.err.f1,5,11,
../canonical-engLit/data/shakespeare/err/shakespeare.err.globe.xml,ok,,urn:cts:engLit:shakespeare.err.globe,6,11,15
../canonical-engLit/data/shakespeare/h5/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/h5/shakespeare.h5.f1.xml,ok,,urn:cts:engLit:shakespeare.h5.f1,6,23,
../canonical-engLit/data/shakespeare/h5/shakespeare.h5.globe.xml,ok,,urn:cts:engLit:shakespeare.h5.globe,8,27,75
../canonical-engLit/data/shakespeare/h8/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/h8/shakespeare.h8.f1.xml,ok,,urn:cts:engLit:shakespeare.h8.f1,6,16,
../canonical-engLit/data/shakespeare/h8/shakespeare.h8.globe.xml,ok,,urn:cts:engLit:shakespeare.h8.globe,8,17,5
../canonical-engLit/data/shakespeare/ham/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/ham/shakespeare.ham.f1.xml,ok,,urn:cts:engLit:shakespeare.ham.f1,5,20,
../canonical-engLit/data/shakespeare/ham/shakespeare.ham.globe.xml,ok,,urn:cts:engLit:shakespeare.ham.globe,6,20,67
../canonical-engLit/data/shakespeare/jc/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/jc/shakespeare.jc.f1.xml,ok,,urn:cts:engLit:shakespeare.jc.f1,5,18,
../canonical-engLit/data/shakespeare/jc/shakespeare.jc.globe.xml,ok,,urn:cts:engLit:shakespeare.jc.globe,5,18,7
../canonical-engLit/data/shakespeare/jn/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/jn/shakespeare.jn.f1.xml,ok,,urn:cts:engLit:shakespeare.jn.f1,5,16,
../canonical-engLit/data/shakespeare/jn/shakespeare.jn.globe.xml,ok,,urn:cts:engLit:shakespeare.jn.globe,6,16,
../canonical-engLit/data/shakespeare/lc/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/lc/shakespeare.lc.globe.xml,ok,,urn:cts:engLit:shakespeare.lc.globe,45,331,
../canonical-engLit/data/shakespeare/lll/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/lll/shakespeare.lll.f1.xml,ok,,urn:cts:engLit:shakespeare.lll.f1,5,9,
../canonical-engLit/data/shakespeare/lll/shakespeare.lll.globe.xml,ok,,urn:cts:engLit:shakespeare.lll.globe,5,9,48
../canonical-engLit/data/shakespeare/lr/Bod-F-lr.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/lr/__cts__.xml,skipped,not a TEI document,,,,
../canonical-engLit/data/shakespeare/lr/lr-first-11-lines.xml,skipped,no refsDecl[citeStructure],,,,
../canonical-engLit/data/shakespeare/lr/shakespeare.lr.f1.xml,ok,,urn:cts:engLit:shakespeare.lr.f1,5,25,
../canonical-engLit/data/shakespeare/lr/shakespeare.lr.globe.xml,ok,,urn:cts:engLit:shakespeare.lr.globe,6,26,3626
