act,scene,anchor_a,anchor_b,gap,boundaries_between,excess,closes,boundary_position,boundary_n,leads_into
1,1,11,31,20,22,2,no,1,,"him, that now I am"
1,1,11,31,20,22,2,no,2,,I cannot conceive you.
1,1,11,31,20,22,2,no,3,,"Sir, this young fellow's mother"
1,1,11,31,20,22,2,no,4,,could: whereupon
1,1,11,31,20,22,2,no,5,,"and had, indeed, sir, a"
1,1,11,31,20,22,2,no,6,,she had a husband for her bed.
1,1,11,31,20,22,2,no,7,,a fault?
1,1,11,31,20,22,2,no,8,,"I cannot wish the fault undone, the"
1,1,11,31,20,22,2,no,9,,issue of it
1,1,11,31,20,22,2,no,10,,"But I have, sir, a son by order of"
1,1,11,31,20,22,2,no,11,,"law, some"
1,1,11,31,20,22,2,no,12,,dearer in my account:
1,1,11,31,20,22,2,no,13,,something saucily into the
1,1,11,31,20,22,2,no,14,,"sent for, yet was his mother fair;"
1,1,11,31,20,22,2,no,15,,"good sport at his making, and the whoreson"
1,1,11,31,20,22,2,no,16,,must
1,1,11,31,20,22,2,no,17,,"noble gentleman,"
1,1,11,31,20,22,2,no,18,,"No, my lord."
1,1,11,31,20,22,2,no,19,,My lord of Kent:
1,1,11,31,20,22,2,no,20,,hereafter as my honourable friend.
1,1,11,31,20,22,2,no,21,,My services to your lordship.
1,1,11,31,20,22,2,no,22,31,"I must love you, and sue to know"
1,1,31,41,10,11,1,no,1,,you better.
1,1,31,41,10,11,1,no,2,,"Sir, I shall study deserving."
1,1,31,41,10,11,1,no,3,,"He hath been out nine years, and"
1,1,31,41,10,11,1,no,4,,away he shall
1,1,31,41,10,11,1,no,5,,Sennet.
1,1,31,41,10,11,1,no,6,,"Attend the lords of France and Burgundy, Gloucester."
1,1,31,41,10,11,1,no,7,,"I shall, my liege."
1,1,31,41,10,11,1,no,8,,Meantime we shall express our darker purpose.
1,1,31,41,10,11,1,no,9,,Give me the map there. Know that we have divided
1,1,31,41,10,11,1,no,10,,In three our kingdom: and 'tis our fast intent
1,1,31,41,10,11,1,no,11,41,To shake all cares and business from our age;
1,1,41,50,9,9,0,yes,,,
1,1,50,70,20,20,0,yes,,,
1,1,70,80,10,11,1,no,1,,"Sir, I am made"
1,1,70,80,10,11,1,no,2,,"Of the self-same metal that my sister is,"
1,1,70,80,10,11,1,no,3,,And prize me at her worth. In my true heart
1,1,70,80,10,11,1,no,4,,I find she names my very deed of love;
1,1,70,80,10,11,1,no,5,,Only she comes too short: that I profess
1,1,70,80,10,11,1,no,6,,"Myself an enemy to all other joys,"
1,1,70,80,10,11,1,no,7,,Which the most precious square of sense possesses;
1,1,70,80,10,11,1,no,8,,And find I am alone felicitate
1,1,70,80,10,11,1,no,9,,In your dear highness' love.
1,1,70,80,10,11,1,no,10,,Then poor Cordelia!
1,1,70,80,10,11,1,no,11,80,"And yet not so; since, I am sure, my love's"
1,1,80,90,10,10,0,yes,,,
1,1,90,100,10,11,1,no,1,,Nothing!
1,1,90,100,10,11,1,no,2,,Nothing.
1,1,90,100,10,11,1,no,3,,Nothing will come of nothing: speak again.
1,1,90,100,10,11,1,no,4,,"Unhappy that I am, I cannot heave"
1,1,90,100,10,11,1,no,5,,My heart into my mouth: I love your majesty
1,1,90,100,10,11,1,no,6,,According to my bond; nor more nor less.
1,1,90,100,10,11,1,no,7,,"How, how, Cordelia! mend your speech a little,"
1,1,90,100,10,11,1,no,8,,Lest it may mar your fortunes.
1,1,90,100,10,11,1,no,9,,"Good my lord,"
1,1,90,100,10,11,1,no,10,,"You have begot me, bred me, loved me: I"
1,1,90,100,10,11,1,no,11,100,"Return those duties back as are right fit,"
1,1,100,110,10,11,1,no,1,,"Obey you, love you, and most honour you."
1,1,100,110,10,11,1,no,2,,"Why have my sisters husbands, if they say"
1,1,100,110,10,11,1,no,3,,"They loved you all? Haply, when I shall wed."
1,1,100,110,10,11,1,no,4,,That lord whose hand must take my plight shall carry
